<<<<<<< HEAD
Sorteio: [6, 20, 37, 45, 54, 55] | Aposta: [1, 2, 3, 4, 5, 6] | Acertos: 1 | Números Acertados: [6]
Sorteio: [7, 25, 35, 47, 52, 56] | Aposta: [1, 2, 4, 5, 6, 45] | Acertos: 0 | Números Acertados: []
Sorteio: [2, 4, 27, 47, 53, 58] | Aposta: [1, 2, 3, 4, 5, 6] | Acertos: 2 | Números Acertados: [2, 4]
Sorteio: [5, 15, 30, 31, 45, 58] | Aposta: [1, 2, 3, 4, 5, 6] | Acertos: 1 | Números Acertados: [5]
Sorteio: [3, 22, 37, 38, 52, 57] | Aposta: [1, 2, 3, 4, 5, 6] | Acertos: 1 | Números Acertados: [3]
Sorteio: [18, 22, 25, 47, 51, 54] | Aposta: [1, 2, 3, 4, 5, 6] | Acertos: 0 | Números Acertados: []
Sorteio: [7, 10, 16, 20, 36, 43] | Aposta: [1, 2, 3, 4, 5, 6] | Acertos: 0 | Números Acertados: Nenhum
Sorteio: [5, 24, 43, 47, 52, 53] | Aposta: [2, 5, 9, 43, 54, 60] | Acertos: 2 | Números Acertados: 5, 43
Sorteio: [25, 26, 29, 33, 38, 52] | Aposta: [1, 2, 3, 5, 6, 7] | Acertos: 0 | Números Acertados: Nenhum
Sorteio: [6, 9, 13, 26, 34, 46] | Aposta: [1, 2, 3, 4, 5, 6] | Acertos: 1 | Números Acertados: 6
Sorteio: [21, 22, 51, 52, 55, 60] | Aposta: [1, 3, 4, 5, 6, 8] | Acertos: 0 | Números Acertados: Nenhum
Sorteio: [12, 17, 19, 33, 38, 48] | Aposta: [2, 4, 5, 6, 7, 8] | Acertos: 0 | Números Acertados: Nenhum
Sorteio: [5, 10, 43, 45, 47, 48] | Aposta: [1, 4, 5, 6, 7, 8] | Acertos: 1 | Números Acertados: 5
Sorteio: [7, 8, 26, 28, 34, 42] | Aposta: [1, 3, 5, 6, 7, 8] | Acertos: 2 | Números Acertados: 7, 8
Sorteio: [18, 20, 34, 45, 46, 48] | Aposta: [4, 6, 7, 8, 9, 12] | Acertos: 0 | Números Acertados: Nenhum
=======
29/07/2025 17:25:49 Sorteio: [14, 37, 46, 53, 56, 59] | Aposta: [1, 2, 3, 4, 5, 6] | Acertos: 0 | Números Acertados: []
30/07/2025 09:00:38 Sorteio: [22, 31, 32, 37, 38, 43] | Aposta: [1, 3, 4, 5, 6, 7] | Acertos: 0 | Números Acertados: []
30/07/2025 09:18:42 Sorteio: [9, 24, 27, 36, 43, 44] | Aposta: [1, 2, 3, 4, 5, 6] | Acertos: 0 | Números Acertados: []
>>>>>>> dbc9758e4cf7b48f871431766ba4945b23b5710c
Sorteio: [18, 28, 31, 37, 39, 58] | Aposta: [1, 2, 3, 4, 5, 6] | Acertos: 0 | Números Acertados: Nenhum
Sorteio: [2, 9, 22, 27, 51, 54] | Aposta: [1, 2, 3, 4, 5, 6] | Acertos: 1 | Números Acertados: 2
Sorteio: [3, 8, 12, 26, 32, 51] | Aposta: [1, 2, 3, 4, 5, 6] | Acertos: 1 | Números Acertados: 3
Sorteio: [9, 11, 27, 29, 35, 51] | Aposta: [1, 2, 3, 4, 5, 6] | Acertos: 0 | Números Acertados: Nenhum
Sorteio: [4, 26, 31, 42, 43, 55] | Aposta: [2, 4, 5, 6, 7, 12] | Acertos: 1 | Números Acertados: 4
Sorteio: [19, 22, 32, 36, 45, 53] | Aposta: [1, 2, 3, 4, 5, 6] | Acertos: 0 | Números Acertados: Nenhum
Sorteio: [23, 31, 34, 42, 55, 56] | Aposta: [1, 2, 3, 4, 5, 6] | Acertos: 0 | Números Acertados: Nenhum
Sorteio: [7, 16, 40, 42, 55, 58] | Aposta: [1, 2, 3, 4, 5, 6] | Acertos: 0 | Números Acertados: Nenhum
Sorteio: [1, 8, 38, 44, 49, 53] | Aposta: [1, 2, 3, 4, 5, 6] | Acertos: 1 | Números Acertados: 1
Sorteio: [3, 19, 20, 31, 43, 60] | Aposta: [1, 2, 3, 4, 5, 6] | Acertos: 1 | Números Acertados: 3
Sorteio: [11, 26, 34, 43, 46, 60] | Aposta: [1, 2, 3, 4, 5, 6] | Acertos: 0 | Números Acertados: Nenhum
